A/lambda,Rate_Lr5,Power_Lr5,Cond_Lr5,SR_Lr5
1.0,6.919448,122.246325,236.45,1.0000
1.3,6.972040,89.706888,61.95,1.0000
1.6,7.556830,113.285055,372.71,1.0000
1.9000000000000001,7.021733,90.315922,453.03,1.0000
2.2,7.275803,151.595232,523.72,1.0000
2.5,6.440173,89.506245,261.24,1.0000
2.8000000000000003,7.330288,112.852630,256.50,1.0000
3.1000000000000005,7.336513,93.665142,183.71,1.0000
3.4000000000000004,7.004904,112.056950,252.34,1.0000
3.7,7.941852,160.920702,15904.63,1.0000
4.0,7.045273,129.621695,14078.50,1.0000
4.300000000000001,7.677520,119.142903,247.71,1.0000
