A/lambda,Rate_Lr5,Power_Lr5,Cond_Lr5,SR_Lr5
1.0,7.098466,108.157578,421.84,1.0000
1.5,7.362815,118.601299,325.29,1.0000
2.0,7.438632,110.835634,397.70,1.0000
2.5,7.617242,126.472992,1007.47,1.0000
3.0,7.494127,126.956793,1386.54,1.0000
3.5,7.591759,121.121980,770.19,1.0000
4.0,7.804480,122.464849,329.06,1.0000
